channel,campaign,metric,previous_week_start,previous_week_end,current_week_start,current_week_end,previous_value,current_value,change,change_rate,previous_days,current_days,comparison_status,exclusion_reason,period_warning
ga4,브랜드 인지,cost,2026-07-13,2026-07-19,2026-07-20,2026-07-26,,,,,7,7,excluded,전주 필수 값 결측: cost 7행 | 금주 필수 값 결측: cost 7행,
ga4,브랜드 인지,impressions,2026-07-13,2026-07-19,2026-07-20,2026-07-26,,,,,7,7,excluded,전주 필수 값 결측: impressions 7행 | 금주 필수 값 결측: impressions 7행,
ga4,브랜드 인지,clicks,2026-07-13,2026-07-19,2026-07-20,2026-07-26,,,,,7,7,excluded,전주 필수 값 결측: clicks 7행 | 금주 필수 값 결측: clicks 7행,
ga4,브랜드 인지,conversions,2026-07-13,2026-07-19,2026-07-20,2026-07-26,91,126,35,0.384615,7,7,comparable,,
ga4,브랜드 인지,revenue,2026-07-13,2026-07-19,2026-07-20,2026-07-26,46590000,57940000,11350000,0.243615,7,7,comparable,,
ga4,브랜드 인지,cpa,2026-07-13,2026-07-19,2026-07-20,2026-07-26,,,,,7,7,excluded,전주 계산 제외: 필수 값 결측: cost 7행 | 금주 계산 제외: 필수 값 결측: cost 7행,
ga4,브랜드 인지,roas,2026-07-13,2026-07-19,2026-07-20,2026-07-26,,,,,7,7,excluded,전주 계산 제외: 필수 값 결측: cost 7행 | 금주 계산 제외: 필수 값 결측: cost 7행,
ga4,브랜드 인지,conversion_rate,2026-07-13,2026-07-19,2026-07-20,2026-07-26,,,,,7,7,excluded,전주 계산 제외: 필수 값 결측: clicks 7행 | 금주 계산 제외: 필수 값 결측: clicks 7행,
ga4,여름 크루즈 프로모션,cost,2026-07-13,2026-07-19,2026-07-20,2026-07-26,,,,,7,7,excluded,전주 필수 값 결측: cost 7행 | 금주 필수 값 결측: cost 7행,
ga4,여름 크루즈 프로모션,impressions,2026-07-13,2026-07-19,2026-07-20,2026-07-26,,,,,7,7,excluded,전주 필수 값 결측: impressions 7행 | 금주 필수 값 결측: impressions 7행,
ga4,여름 크루즈 프로모션,clicks,2026-07-13,2026-07-19,2026-07-20,2026-07-26,,,,,7,7,excluded,전주 필수 값 결측: clicks 7행 | 금주 필수 값 결측: clicks 7행,
ga4,여름 크루즈 프로모션,conversions,2026-07-13,2026-07-19,2026-07-20,2026-07-26,118,78,-40,-0.338983,7,7,comparable,,
ga4,여름 크루즈 프로모션,revenue,2026-07-13,2026-07-19,2026-07-20,2026-07-26,67020000,52420000,-14600000,-0.217845,7,7,comparable,,
ga4,여름 크루즈 프로모션,cpa,2026-07-13,2026-07-19,2026-07-20,2026-07-26,,,,,7,7,excluded,전주 계산 제외: 필수 값 결측: cost 7행 | 금주 계산 제외: 필수 값 결측: cost 7행,
ga4,여름 크루즈 프로모션,roas,2026-07-13,2026-07-19,2026-07-20,2026-07-26,,,,,7,7,excluded,전주 계산 제외: 필수 값 결측: cost 7행 | 금주 계산 제외: 필수 값 결측: cost 7행,
ga4,여름 크루즈 프로모션,conversion_rate,2026-07-13,2026-07-19,2026-07-20,2026-07-26,,,,,7,7,excluded,전주 계산 제외: 필수 값 결측: clicks 7행 | 금주 계산 제외: 필수 값 결측: clicks 7행,
ga4,재방문 리타겟팅,cost,2026-07-13,2026-07-19,2026-07-20,2026-07-26,,,,,7,7,excluded,전주 필수 값 결측: cost 7행 | 금주 필수 값 결측: cost 7행,
ga4,재방문 리타겟팅,impressions,2026-07-13,2026-07-19,2026-07-20,2026-07-26,,,,,7,7,excluded,전주 필수 값 결측: impressions 7행 | 금주 필수 값 결측: impressions 7행,
ga4,재방문 리타겟팅,clicks,2026-07-13,2026-07-19,2026-07-20,2026-07-26,,,,,7,7,excluded,전주 필수 값 결측: clicks 7행 | 금주 필수 값 결측: clicks 7행,
ga4,재방문 리타겟팅,conversions,2026-07-13,2026-07-19,2026-07-20,2026-07-26,66,118,52,0.787879,7,7,comparable,,
ga4,재방문 리타겟팅,revenue,2026-07-13,2026-07-19,2026-07-20,2026-07-26,46940000,53420000,6480000,0.138049,7,7,comparable,,
ga4,재방문 리타겟팅,cpa,2026-07-13,2026-07-19,2026-07-20,2026-07-26,,,,,7,7,excluded,전주 계산 제외: 필수 값 결측: cost 7행 | 금주 계산 제외: 필수 값 결측: cost 7행,
ga4,재방문 리타겟팅,roas,2026-07-13,2026-07-19,2026-07-20,2026-07-26,,,,,7,7,excluded,전주 계산 제외: 필수 값 결측: cost 7행 | 금주 계산 제외: 필수 값 결측: cost 7행,
ga4,재방문 리타겟팅,conversion_rate,2026-07-13,2026-07-19,2026-07-20,2026-07-26,,,,,7,7,excluded,전주 계산 제외: 필수 값 결측: clicks 7행 | 금주 계산 제외: 필수 값 결측: clicks 7행,
kakao_moment,KKM_여름 크루즈 프로모션,cost,2026-07-13,2026-07-19,2026-07-20,2026-07-26,620500,770400,149900,0.241579,7,7,comparable,,
kakao_moment,KKM_여름 크루즈 프로모션,impressions,2026-07-13,2026-07-19,2026-07-20,2026-07-26,97280,127530,30250,0.310958,7,7,comparable,,
kakao_moment,KKM_여름 크루즈 프로모션,clicks,2026-07-13,2026-07-19,2026-07-20,2026-07-26,1208,1965,757,0.626656,7,7,comparable,,
kakao_moment,KKM_여름 크루즈 프로모션,conversions,2026-07-13,2026-07-19,2026-07-20,2026-07-26,47,64,17,0.361702,7,7,comparable,,
kakao_moment,KKM_여름 크루즈 프로모션,revenue,2026-07-13,2026-07-19,2026-07-20,2026-07-26,32030000,43660000,11630000,0.363097,7,7,comparable,,
kakao_moment,KKM_여름 크루즈 프로모션,cpa,2026-07-13,2026-07-19,2026-07-20,2026-07-26,13202.13,12037.50,-1164.63,-0.088215,7,7,comparable,,
kakao_moment,KKM_여름 크루즈 프로모션,roas,2026-07-13,2026-07-19,2026-07-20,2026-07-26,51.619662,56.671859,5.052197,0.097874,7,7,comparable,,
kakao_moment,KKM_여름 크루즈 프로모션,conversion_rate,2026-07-13,2026-07-19,2026-07-20,2026-07-26,0.038907,0.032570,-0.006337,-0.162876,7,7,comparable,,
meta,[Meta] 브랜드 인지,cost,2026-07-13,2026-07-19,2026-07-20,2026-07-26,1387700,1897900,510200,0.367659,7,7,comparable,,
meta,[Meta] 브랜드 인지,impressions,2026-07-13,2026-07-19,2026-07-20,2026-07-26,239772,274675,34903,0.145567,7,7,comparable,,
meta,[Meta] 브랜드 인지,clicks,2026-07-13,2026-07-19,2026-07-20,2026-07-26,3712,4465,753,0.202856,7,7,comparable,,
meta,[Meta] 브랜드 인지,conversions,2026-07-13,2026-07-19,2026-07-20,2026-07-26,156,188,32,0.205128,7,7,comparable,,
meta,[Meta] 브랜드 인지,revenue,2026-07-13,2026-07-19,2026-07-20,2026-07-26,,,,,7,7,excluded,전주 필수 값 결측: revenue 7행 | 금주 필수 값 결측: revenue 7행,
meta,[Meta] 브랜드 인지,cpa,2026-07-13,2026-07-19,2026-07-20,2026-07-26,8895.51,10095.21,1199.70,0.134866,7,7,comparable,,
meta,[Meta] 브랜드 인지,roas,2026-07-13,2026-07-19,2026-07-20,2026-07-26,,,,,7,7,excluded,전주 계산 제외: 필수 값 결측: revenue 7행 | 금주 계산 제외: 필수 값 결측: revenue 7행,
meta,[Meta] 브랜드 인지,conversion_rate,2026-07-13,2026-07-19,2026-07-20,2026-07-26,0.042026,0.042105,0.000079,0.001880,7,7,comparable,,
meta,[Meta] 여름 크루즈 프로모션,cost,2026-07-13,2026-07-19,2026-07-20,2026-07-26,1373500,1864100,490600,0.357190,7,7,comparable,,
meta,[Meta] 여름 크루즈 프로모션,impressions,2026-07-13,2026-07-19,2026-07-20,2026-07-26,222013,313243,91230,0.410922,7,7,comparable,,
meta,[Meta] 여름 크루즈 프로모션,clicks,2026-07-13,2026-07-19,2026-07-20,2026-07-26,3532,4784,1252,0.354473,7,7,comparable,,
meta,[Meta] 여름 크루즈 프로모션,conversions,2026-07-13,2026-07-19,2026-07-20,2026-07-26,124,192,68,0.548387,7,7,comparable,,
meta,[Meta] 여름 크루즈 프로모션,revenue,2026-07-13,2026-07-19,2026-07-20,2026-07-26,,,,,7,7,excluded,전주 필수 값 결측: revenue 7행 | 금주 필수 값 결측: revenue 7행,
meta,[Meta] 여름 크루즈 프로모션,cpa,2026-07-13,2026-07-19,2026-07-20,2026-07-26,11076.61,9708.85,-1367.76,-0.123482,7,7,comparable,,
meta,[Meta] 여름 크루즈 프로모션,roas,2026-07-13,2026-07-19,2026-07-20,2026-07-26,,,,,7,7,excluded,전주 계산 제외: 필수 값 결측: revenue 7행 | 금주 계산 제외: 필수 값 결측: revenue 7행,
meta,[Meta] 여름 크루즈 프로모션,conversion_rate,2026-07-13,2026-07-19,2026-07-20,2026-07-26,0.035108,0.040134,0.005026,0.143158,7,7,comparable,,
meta,[Meta] 재방문 리타겟팅,cost,2026-07-13,2026-07-19,2026-07-20,2026-07-26,1305700,1681100,375400,0.287509,7,7,comparable,,
meta,[Meta] 재방문 리타겟팅,impressions,2026-07-13,2026-07-19,2026-07-20,2026-07-26,232541,304534,71993,0.309593,7,7,comparable,,
meta,[Meta] 재방문 리타겟팅,clicks,2026-07-13,2026-07-19,2026-07-20,2026-07-26,4054,4159,105,0.025900,7,7,comparable,,
meta,[Meta] 재방문 리타겟팅,conversions,2026-07-13,2026-07-19,2026-07-20,2026-07-26,138,164,26,0.188406,7,7,comparable,,
meta,[Meta] 재방문 리타겟팅,revenue,2026-07-13,2026-07-19,2026-07-20,2026-07-26,,,,,7,7,excluded,전주 필수 값 결측: revenue 7행 | 금주 필수 값 결측: revenue 7행,
meta,[Meta] 재방문 리타겟팅,cpa,2026-07-13,2026-07-19,2026-07-20,2026-07-26,9461.59,10250.61,789.02,0.083392,7,7,comparable,,
meta,[Meta] 재방문 리타겟팅,roas,2026-07-13,2026-07-19,2026-07-20,2026-07-26,,,,,7,7,excluded,전주 계산 제외: 필수 값 결측: revenue 7행 | 금주 계산 제외: 필수 값 결측: revenue 7행,
meta,[Meta] 재방문 리타겟팅,conversion_rate,2026-07-13,2026-07-19,2026-07-20,2026-07-26,0.034040,0.039433,0.005393,0.158431,7,7,comparable,,
naver_gfa,GFA-여름 크루즈 프로모션,cost,2026-07-13,2026-07-19,2026-07-20,2026-07-26,920370,1223640,303270,0.329509,7,7,comparable,,
naver_gfa,GFA-여름 크루즈 프로모션,impressions,2026-07-13,2026-07-19,2026-07-20,2026-07-26,158018,167273,9255,0.058569,7,7,comparable,,
naver_gfa,GFA-여름 크루즈 프로모션,clicks,2026-07-13,2026-07-19,2026-07-20,2026-07-26,2283,2857,574,0.251424,7,7,comparable,,
naver_gfa,GFA-여름 크루즈 프로모션,conversions,2026-07-13,2026-07-19,2026-07-20,2026-07-26,80,116,36,0.450000,7,7,comparable,,
naver_gfa,GFA-여름 크루즈 프로모션,revenue,2026-07-13,2026-07-19,2026-07-20,2026-07-26,,,,,7,7,excluded,전주 필수 값 결측: revenue 7행 | 금주 필수 값 결측: revenue 7행,
naver_gfa,GFA-여름 크루즈 프로모션,cpa,2026-07-13,2026-07-19,2026-07-20,2026-07-26,11504.63,10548.62,-956.01,-0.083098,7,7,comparable,,
naver_gfa,GFA-여름 크루즈 프로모션,roas,2026-07-13,2026-07-19,2026-07-20,2026-07-26,,,,,7,7,excluded,전주 계산 제외: 필수 값 결측: revenue 7행 | 금주 계산 제외: 필수 값 결측: revenue 7행,
naver_gfa,GFA-여름 크루즈 프로모션,conversion_rate,2026-07-13,2026-07-19,2026-07-20,2026-07-26,0.035042,0.040602,0.005560,0.158667,7,7,comparable,,
naver_gfa,GFA-재방문 리타겟팅,cost,2026-07-13,2026-07-19,2026-07-20,2026-07-26,987580,1189100,201520,0.204054,7,7,comparable,,
naver_gfa,GFA-재방문 리타겟팅,impressions,2026-07-13,2026-07-19,2026-07-20,2026-07-26,144531,187339,42808,0.296186,7,7,comparable,,
